Unit Name,Tenant Name,Lease Start,Lease End,Previous Lease Start,Previous Lease End,Previous Rent,Rent,Percent Difference,Dollar Difference,Status,Term,Tenant Transfer,Term_Days,Is_Month_To_Month,Last,First,Middle
1101,"Wright, Jennifer Q.",2022-09-01,2023-08-26,2021-11-01,2022-08-26,0.0,1520.0,,1520.0,Renewed,11 mo 26 day,No,356.0,False,Wright,Jennifer,Q
1202,"Wood, Alexander R.",2022-09-01,2023-08-26,2022-01-27,2022-08-26,1260.0,1480.0,17.46,220.0,Renewed,11 mo 26 day,No,356.0,False,Wood,Alexander,R
2406,"Roberts, Peter S.",2022-09-01,2024-01-27,2022-02-01,2023-01-26,0.0,0.0,,0.0,Renewed,16 mo 27 day,Yes,507.0,False,Roberts,Peter,S
1503,"Lewis, Kimberly T.",2022-09-27,2023-09-26,2021-10-08,2022-09-26,1815.0,1875.0,3.31,60.0,Renewed,12 month,No,360.0,False,Lewis,Kimberly,T
1504,"King, Ryan H.",2022-09-27,2023-03-26,2022-03-27,2022-09-26,0.0,1850.0,,1850.0,Renewed,6 month,No,180.0,False,King,Ryan,H
1806,"Moore, Samantha U.",2022-09-27,2023-09-26,2021-09-10,2022-09-26,1965.0,2065.0,5.09,100.0,Renewed,12 month,No,360.0,False,Moore,Samantha,U
2305,"Nelson, Jose V.",2022-09-27,2023-05-14,2021-08-20,2022-09-26,1890.0,1890.0,0.0,0.0,Renewed,7 mo 18 day,No,228.0,False,Nelson,Jose,V
2306,"Green, Amanda M.",2022-09-27,2022-10-26,2022-08-27,2022-09-26,2100.0,2100.0,0.0,0.0,Renewed,1 month,No,30.0,False,Green,Amanda,M
1102,"Sanchez, Dennis W.",2022-09-27,2023-09-26,2021-11-01,2022-09-26,1444.0,1505.0,4.22,61.0,Renewed,12 month,No,360.0,False,Sanchez,Dennis,W
1407,"Salinas Cortes, Katherine R.",2022-10-01,2023-09-30,2021-09-15,2022-09-30,1625.0,1655.0,1.85,30.0,Renewed,12 month,No,360.0,False,Salinas Cortes,Katherine,R
1407,"Salinas Cortes, Katherine R.",2022-10-01,,2021-09-15,2022-09-30,1625.0,1655.0,1.85,30.0,Did Not Renew,Month To Month,No,,True,Salinas Cortes,Katherine,R
1803,"Morris, Judith B.",2022-10-01,2023-03-31,2021-10-14,,1830.0,1898.0,3.72,68.0,Renewed,6 month,No,180.0,False,Morris,Judith,B
1223,"Williams, Debra Y.",2022-10-01,2023-03-31,2022-03-14,2022-09-30,1250.0,1350.0,8.0,100.0,Renewed,6 month,No,180.0,False,Williams,Debra,Y
1109,"Kelly, Gary A.",2022-10-15,2023-10-14,2021-11-05,2022-10-14,1970.0,1975.0,0.25,5.0,Renewed,12 month,No,360.0,False,Kelly,Gary,A
1404,"Wilson, Donna P.",2022-10-27,2023-10-26,2020-10-27,2022-10-26,2275.35,2280.0,0.2,4.65,Renewed,12 month,No,360.0,False,Wilson,Donna,P
1902,"Scott, David B.",2022-10-27,2023-10-26,2021-10-12,2022-10-26,0.0,1330.0,,1330.0,Renewed,12 month,No,360.0,False,Scott,David,B
2103,"Martinez, Paul C.",2022-10-27,2023-10-26,2021-11-05,2022-10-26,1878.0,2078.0,10.65,200.0,Renewed,12 month,No,360.0,False,Martinez,Paul,C
2106,"Rogers, Aaron N.",2022-10-27,2023-10-26,2021-10-27,2022-10-26,0.0,2215.0,,2215.0,Renewed,12 month,No,360.0,False,Rogers,Aaron,N
2203,"Hernandez, Victoria J.",2022-10-27,2023-10-26,2021-11-01,2022-10-26,1878.0,2078.0,10.65,200.0,Renewed,12 month,No,360.0,False,Hernandez,Victoria,J
2306,"Green, Amanda M.",2022-10-27,2023-07-26,2022-09-27,2022-10-26,2100.0,2100.0,0.0,0.0,Renewed,9 month,No,270.0,False,Green,Amanda,M
1107,"Morris, Jeffrey D.",2022-10-29,2023-10-28,2021-11-01,2022-10-28,0.0,1475.0,,1475.0,Renewed,12 month,No,360.0,False,Morris,Jeffrey,D
1124,"Cabral Nunez, Stephen E.",2022-10-29,2023-10-28,2021-11-02,2022-10-28,1495.0,1525.0,2.01,30.0,Renewed,12 month,No,360.0,False,Cabral Nunez,Stephen,E
1206,"Miller, Eric F.",2022-10-31,2023-10-30,2022-01-22,2022-10-30,1483.0,1545.0,4.18,62.0,Renewed,12 month,No,360.0,False,Miller,Eric,F
1506,"Clark, Angela G.",2022-11-01,2023-10-31,2022-08-01,2022-10-31,2100.0,2100.0,0.0,0.0,Did Not Renew,12 month,No,360.0,False,Clark,Angela,G
1506,"Clark, Angela G.",2022-11-01,,2022-08-01,2022-10-31,2100.0,2100.0,0.0,0.0,Month To Month,Month To Month,No,,True,Clark,Angela,G
2503,"Chavez, Dorothy L.",2022-11-01,2023-10-31,,,,2100.0,,,Did Not Renew,12 month,No,360.0,False,Chavez,Dorothy,L
1506,"Clark, Angela G.",2022-12-01,2023-05-31,2022-11-01,,2100.0,2175.0,3.57,75.0,Renewed,6 month,No,180.0,False,Clark,Angela,G
1106,"Ward, Carolyn G.",2022-12-01,2023-11-30,2021-12-04,2022-11-30,1435.0,1535.0,6.97,100.0,Renewed,12 month,No,360.0,False,Ward,Carolyn,G
2005,"Flores, Christine N.",2023-01-01,2023-04-26,2022-09-01,2022-12-31,1900.0,2050.0,7.89,150.0,Renewed,3 mo 26 day,No,116.0,False,Flores,Christine,N
1905,"Harris, Jerry H.",2023-01-27,2024-01-26,2022-01-07,2023-01-26,1860.0,1925.0,3.49,65.0,Renewed,12 month,No,360.0,False,Harris,Jerry,H
2204,"Morgan, Patricia J.",2023-01-27,2024-01-26,2022-02-04,2023-01-26,1880.0,1955.0,3.99,75.0,Renewed,12 month,No,360.0,False,Morgan,Patricia,J
1203,"Mitchell, Barbara K.",2023-01-27,2024-01-26,2021-09-15,2023-01-26,0.0,1580.0,,1580.0,Renewed,12 month,No,360.0,False,Mitchell,Barbara,K
1204,"Ramos, Maria L.",2023-01-27,2024-01-26,2022-02-01,2023-01-26,1475.0,1580.0,7.12,105.0,Renewed,12 month,No,360.0,False,Ramos,Maria,L
2406,"Roberts, Peter S.",2023-01-28,2024-01-27,2022-09-01,2023-01-27,2398.0,2398.0,0.0,0.0,Renewed,12 month,No,360.0,False,Roberts,Peter,S
1707,"Smith, Ashley M.",2023-02-02,2024-04-26,2022-08-02,2023-07-26,0.0,0.0,,0.0,Renewed,14 mo 25 day,Yes,445.0,False,Smith,Ashley,M
2302,"Taylor, Raymond N.",2023-02-27,2024-02-26,,,,1500.0,,,Did Not Renew,12 month,No,360.0,False,Taylor,Raymond,N
1120,"Stewart, Christina P.",2023-02-27,2024-02-26,2022-03-01,2023-02-26,1250.0,1630.0,30.4,380.0,Renewed,12 month,No,360.0,False,Stewart,Christina,P
1222,"Rogers, Evelyn Q.",2023-02-27,2024-02-26,2022-02-25,2023-02-26,1310.0,1690.0,29.01,380.0,Renewed,12 month,No,360.0,False,Rogers,Evelyn,Q
1405,"Howard, Betty Y.",2023-03-27,2024-03-26,,,,2600.0,,,Did Not Renew,12 month,No,360.0,False,Howard,Betty,Y
1505,"Ortiz, Jack A.",2023-03-27,2025-03-26,2022-04-01,2023-03-26,1690.0,1932.0,14.32,242.0,Renewed,24 month,No,720.0,False,Ortiz,Jack,A
1802,"Wilson, Emily R.",2023-03-27,2024-03-26,2022-03-30,2023-03-26,1290.0,1630.0,26.36,340.0,Renewed,12 month,No,360.0,False,Wilson,Emily,R
2104,"Gomez, Helen S.",2023-03-27,2024-03-26,2022-04-07,2023-03-26,1880.0,2055.0,9.31,175.0,Renewed,12 month,No,360.0,False,Gomez,Helen,S
2303,"Lopez, Henry T.",2023-03-27,2024-03-26,,,,2380.0,,,Did Not Renew,12 month,No,360.0,False,Lopez,Henry,T
1117,"Cook, Victoria U.",2023-03-27,2023-04-26,2022-03-18,2023-03-26,1250.0,1630.0,30.4,380.0,Renewed,1 month,No,30.0,False,Cook,Victoria,U
1205,"Gray, Thomas V.",2023-03-27,2024-03-26,2022-04-09,2023-03-26,1475.0,1625.0,10.17,150.0,Renewed,12 month,No,360.0,False,Gray,Thomas,V
1224,"Rodriguez, Kenneth W.",2023-03-27,2024-03-26,,,,1800.0,,,Did Not Renew,12 month,No,360.0,False,Rodriguez,Kenneth,W
1210,"Brooks, Amanda Y.",2023-04-01,2024-03-31,,,,1955.0,,,Did Not Renew,12 month,No,360.0,False,Brooks,Amanda,Y
1215,"Young, Tyler A.",2023-04-01,2024-03-31,2022-03-31,2023-03-31,1295.0,1600.0,23.55,305.0,Renewed,12 month,No,360.0,False,Young,Tyler,A
1907,"Flores, Kenneth L.",2023-04-27,2025-04-26,2022-05-01,2023-04-26,1355.0,1492.0,10.11,137.0,Renewed,24 month,No,720.0,False,Flores,Kenneth,L
2005,"Flores, Christine N.",2023-04-27,2023-08-31,2023-01-01,2023-04-26,2050.0,2200.0,7.32,150.0,Renewed,4 mo 5 day,No,125.0,False,Flores,Christine,N
2007,"Johnson, Timothy G.",2023-04-27,2024-04-26,2022-05-01,2023-04-26,1265.0,1447.0,14.39,182.0,Renewed,12 month,No,360.0,False,Johnson,Timothy,G
2402,"Lee, Zachary S.",2023-04-27,2024-04-26,,,,1680.0,,,Did Not Renew,12 month,No,360.0,False,Lee,Zachary,S
2505,"Collins, Gregory J.",2023-04-27,2024-04-26,2022-05-01,2023-04-26,1835.0,2085.0,13.62,250.0,Renewed,12 month,No,360.0,False,Collins,Gregory,J
1114,"Howard, Lauren B.",2023-04-27,2024-04-26,2022-04-30,2023-04-26,1325.0,1630.0,23.02,305.0,Renewed,12 month,No,360.0,False,Howard,Lauren,B
1118,"Ortiz, Sandra C.",2023-04-27,2024-04-26,2022-05-01,2023-04-26,1250.0,1630.0,30.4,380.0,Renewed,12 month,No,360.0,False,Ortiz,Sandra,C
1220,"Hall, Shirley D.",2023-04-30,2023-07-29,2022-04-30,2023-04-29,1250.0,1440.0,15.2,190.0,Renewed,3 month,No,90.0,False,Hall,Shirley,D
2405,"Cruz, Charles E.",2023-05-10,2023-07-31,2022-05-10,2023-05-09,1920.0,1920.0,0.0,0.0,Renewed,2 mo 22 day,No,82.0,False,Cruz,Charles,E
1604,"Baker, Carol V.",2023-05-27,2024-05-26,,,,2200.0,,,Did Not Renew,12 month,No,360.0,False,Baker,Carol,V
1702,"Morales, Kelly W.",2023-05-27,2024-05-26,,,,1630.0,,,Did Not Renew,12 month,No,360.0,False,Morales,Kelly,W
1705,"Cooper, Diane F.",2023-05-27,2024-05-26,2022-06-06,2023-05-26,1860.0,2030.0,9.14,170.0,Renewed,12 month,No,360.0,False,Cooper,Diane,F
1903,"Roberts, Sandra Q.",2023-05-27,2024-05-26,2022-06-01,2023-05-26,2060.0,2195.0,6.55,135.0,Renewed,12 month,No,360.0,False,Roberts,Sandra,Q
1904,"Murphy, Walter Y.",2023-05-27,2024-01-26,2022-06-01,2023-05-26,1865.0,2050.0,9.92,185.0,Renewed,8 month,No,240.0,False,Murphy,Walter,Y
2002,"Walker, Cynthia M.",2023-05-27,2024-05-26,2022-06-01,2023-05-26,1510.0,1630.0,7.95,120.0,Renewed,12 month,No,360.0,False,Walker,Cynthia,M
2404,"Diaz, Michael P.",2023-05-27,2024-05-26,2022-06-01,2023-05-26,1750.0,2000.0,14.29,250.0,Renewed,12 month,No,360.0,False,Diaz,Michael,P
1208,"White, Kyle G.",2023-05-27,2023-11-26,2022-05-20,2023-05-26,0.0,1930.0,,1930.0,Renewed,6 month,No,180.0,False,White,Kyle,G
1224,"Cuevas Bermudez, Daniel H.",2023-05-29,2025-05-28,2023-05-29,2024-05-28,0.0,0.0,,0.0,Renewed,24 month,Yes,720.0,False,Cuevas Bermudez,Daniel,H
1115,"Johnson, Rachel J.",2023-06-16,2024-06-15,2022-06-16,2023-06-15,1295.0,1425.0,10.04,130.0,Renewed,12 month,No,360.0,False,Johnson,Rachel,J
2307,"Carter, Nicole K.",2023-06-23,2024-06-22,2022-06-22,2023-06-22,1330.0,1495.0,12.41,165.0,Renewed,12 month,No,360.0,False,Carter,Nicole,K
1606,"Collins, Brian L.",2023-06-27,2024-06-26,2022-07-01,2023-06-26,2005.0,2300.0,14.71,295.0,Renewed,12 month,No,360.0,False,Collins,Brian,L
1805,"Nguyen, Sharon A.",2023-06-27,2024-01-26,2022-07-01,2023-06-26,1860.0,2100.0,12.9,240.0,Renewed,7 month,No,210.0,False,Nguyen,Sharon,A
1901,"Thompson, Judith M.",2023-06-27,2024-06-26,2022-07-02,2023-06-26,1348.0,1570.0,16.47,222.0,Renewed,12 month,No,360.0,False,Thompson,Judith,M
2006,"Thompson, Benjamin K.",2023-06-27,2024-06-26,2022-07-01,2023-06-26,1975.0,2300.0,16.46,325.0,Renewed,12 month,No,360.0,False,Thompson,Benjamin,K
2102,"Reed, Samuel C.",2023-06-27,2024-06-26,,,,1660.0,,,Did Not Renew,12 month,No,360.0,False,Reed,Samuel,C
2102,"Reed, Samuel C.",2023-06-27,,,,,1300.0,,,Did Not Renew,Month To Month,No,,True,Reed,Samuel,C
2304,"Richardson, Ronald N.",2023-06-27,2024-06-26,,,,2230.0,,,Did Not Renew,12 month,No,360.0,False,Richardson,Ronald,N
2401,"Williams, Daniel V.",2023-06-27,2024-06-26,2022-07-01,2023-06-26,1400.0,1470.0,5.0,70.0,Renewed,12 month,No,360.0,False,Williams,Daniel,V
2401,"Williams, Daniel V.",2023-06-27,,2022-07-01,2023-06-26,1400.0,1400.0,0.0,0.0,Did Not Renew,Month To Month,No,,True,Williams,Daniel,V
1103,"Walker, Pamela P.",2023-06-27,2024-06-26,2023-04-01,2023-06-26,1475.0,1695.0,14.92,220.0,Renewed,12 month,No,360.0,False,Walker,Pamela,P
1122,"Campbell, Susan E.",2023-06-27,2024-06-26,,,,1690.0,,,Did Not Renew,12 month,No,360.0,False,Campbell,Susan,E
1219,"Turner, Douglas Q.",2023-06-27,2023-08-26,2022-06-15,2023-06-26,1365.0,1425.0,4.4,60.0,Renewed,2 month,No,60.0,False,Turner,Douglas,Q
2501,"Diaz, Melissa R.",2023-07-08,2024-07-07,,,,1695.0,,,Did Not Renew,12 month,No,360.0,False,Diaz,Melissa,R
1601,"Hughes, Karen H.",2023-07-27,2024-07-26,,,,1420.0,,,Did Not Renew,12 month,No,360.0,False,Hughes,Karen,H
1607,"Jackson, Joseph S.",2023-07-27,2024-07-26,2022-08-02,2023-07-26,1300.0,1445.0,11.15,145.0,Renewed,12 month,No,360.0,False,Jackson,Joseph,S
1707,"Smith, Ashley M.",2023-07-27,2024-04-26,2023-02-02,2023-07-26,1530.0,1530.0,0.0,0.0,Renewed,9 month,No,270.0,False,Smith,Ashley,M
2306,"Green, Amanda M.",2023-07-27,2023-10-31,2022-10-27,2023-07-26,2100.0,2100.0,0.0,0.0,Renewed,3 mo 5 day,No,95.0,False,Green,Amanda,M
1201,"Gonzalez, Kevin T.",2023-07-27,2024-07-26,,,,1820.0,,,Did Not Renew,12 month,No,360.0,False,Gonzalez,Kevin,T
1201,"Gonzalez, Kevin T.",2023-07-27,2024-07-26,2022-08-01,2023-07-26,1515.0,1820.0,20.13,305.0,Renewed,12 month,No,360.0,False,Gonzalez,Kevin,T
1214,"Edwards, Mark U.",2023-07-27,2024-07-26,,,,1630.0,,,Did Not Renew,12 month,No,360.0,False,Edwards,Mark,U
2205,"Evans, Jonathan F.",2023-08-01,2024-05-31,2022-07-27,2023-07-31,1850.0,2100.0,13.51,250.0,Renewed,10 month,No,300.0,False,Evans,Jonathan,F
1801,"Mendoza, Matthew V.",2023-08-12,2024-08-11,2022-08-12,2023-08-11,1378.0,1420.0,3.05,42.0,Renewed,12 month,No,360.0,False,Mendoza,Matthew,V
1406,"Mitchell, Kevin H.",2023-08-27,2024-08-26,2022-09-01,2023-08-26,2305.0,2555.0,10.85,250.0,Renewed,12 month,No,360.0,False,Mitchell,Kevin,H
1703,"Harris, Melissa F.",2023-08-27,2025-08-26,2021-08-27,2023-08-26,0.0,2080.0,,2080.0,Renewed,24 month,No,720.0,False,Harris,Melissa,F
1706,"Gutierrez, Anna M.",2023-08-27,2024-08-26,2022-09-01,2023-08-26,2000.0,2200.0,10.0,200.0,Renewed,12 month,No,360.0,False,Gutierrez,Anna,M
1804,"Ramos, Mark J.",2023-08-27,2024-08-26,2022-09-01,2023-08-26,1850.0,2100.0,13.51,250.0,Renewed,12 month,No,360.0,False,Ramos,Mark,J
1906,"Cox, Steven W.",2023-08-27,2024-08-26,2022-09-01,2023-08-26,2170.0,2200.0,1.38,30.0,Renewed,12 month,No,360.0,False,Cox,Steven,W
2206,"Torres, Laura D.",2023-08-27,2024-08-26,2022-09-01,2023-08-26,2000.0,2200.0,10.0,200.0,Renewed,12 month,No,360.0,False,Torres,Laura,D
2506,"Hernandez, William L.",2023-08-27,2024-08-26,2022-08-19,2023-08-26,2180.0,2430.0,11.47,250.0,Renewed,12 month,No,360.0,False,Hernandez,William,L
1101,"Wright, Jennifer Q.",2023-08-27,2024-08-26,2022-09-01,2023-08-26,1520.0,1670.0,9.87,150.0,Renewed,12 month,No,360.0,False,Wright,Jennifer,Q
1402,"Smith, Matthew K.",2023-09-01,2024-08-31,,,,2230.0,,,Did Not Renew,12 month,No,360.0,False,Smith,Matthew,K
2005,"Flores, Christine N.",2023-09-01,2024-02-29,2023-04-27,2023-08-31,0.0,2200.0,,2200.0,Renewed,6 month,No,180.0,False,Flores,Christine,N
2403,"Jones, Jacob Y.",2023-09-03,2024-09-02,2022-09-03,2023-09-02,1918.0,2168.0,13.03,250.0,Renewed,12 month,No,360.0,False,Jones,Jacob,Y
2407,"Robinson, Aaron A.",2023-09-07,2024-09-06,2022-09-07,2023-09-06,1380.0,1540.0,11.59,160.0,Renewed,12 month,No,360.0,False,Robinson,Aaron,A
1110,"Martin, Donna B.",2023-09-17,2024-09-16,2022-09-17,2023-09-16,1955.0,1955.0,0.0,0.0,Renewed,12 month,No,360.0,False,Martin,Donna,B
1211,"Parker, Lisa C.",2023-09-17,2024-05-31,2022-09-17,2023-09-16,1930.0,1930.0,0.0,0.0,Renewed,8 mo 15 day,No,255.0,False,Parker,Lisa,C
1213,"Allen, Katherine D.",2023-09-17,2024-09-16,2022-09-17,2023-09-16,1930.0,1930.0,0.0,0.0,Renewed,12 month,No,360.0,False,Allen,Katherine,D
1216,"Thomas, Elizabeth E.",2023-09-17,2024-09-16,2022-09-17,2023-09-16,1380.0,1425.0,3.26,45.0,Renewed,12 month,No,360.0,False,Thomas,Elizabeth,E
2103,"Rogers, Evelyn Q.",2023-09-23,2025-09-26,2023-02-27,2024-02-26,0.0,0.0,,0.0,Renewed,24 mo 4 day,Yes,724.0,False,Rogers,Evelyn,Q
1503,"Lewis, Kimberly T.",2023-09-27,2024-09-26,2022-09-27,2023-09-26,0.0,2075.0,,2075.0,Renewed,12 month,No,360.0,False,Lewis,Kimberly,T
1806,"Moore, Samantha U.",2023-09-27,2024-09-26,,,,2200.0,,,Did Not Renew,12 month,No,360.0,False,Moore,Samantha,U
2202,"Torres, Emma F.",2023-09-27,2024-09-26,2022-10-01,2023-09-26,1385.0,1520.0,9.75,135.0,Renewed,12 month,No,360.0,False,Torres,Emma,F
1209,"Kim, Nancy G.",2023-09-27,2024-09-26,2022-10-01,2023-09-26,0.0,1955.0,,1955.0,Renewed,12 month,No,360.0,False,Kim,Nancy,G
1407,"Salinas Cortes, Katherine R.",2023-10-01,2024-09-30,2022-10-01,2023-09-30,1655.0,2120.0,28.1,465.0,Renewed,12 month,No,360.0,False,Salinas Cortes,Katherine,R
1207,"Ruiz, George H.",2023-10-04,2024-10-03,2022-10-04,2023-10-03,1550.0,1750.0,12.9,200.0,Renewed,12 month,No,360.0,False,Ruiz,George,H
2207,"Bennett, James J.",2023-10-07,2024-10-06,2022-10-07,2023-10-06,1460.0,1520.0,4.11,60.0,Renewed,12 month,No,360.0,False,Bennett,James,J
1102,"Roberts, Peter S.",2023-10-07,2024-09-26,2023-01-28,2024-01-27,0.0,0.0,,0.0,Renewed,11 mo 20 day,Yes,350.0,False,Roberts,Peter,S
2201,"King, Betty K.",2023-10-22,2024-10-21,2022-10-22,2023-10-21,1483.0,1500.0,1.15,17.0,Renewed,12 month,No,360.0,False,King,Betty,K
1113,"Watson, Jack L.",2023-10-24,2024-10-23,2022-10-24,2023-10-23,1930.0,1930.0,0.0,0.0,Renewed,12 month,No,360.0,False,Watson,Jack,L
1404,"Wilson, Donna P.",2023-10-27,2024-10-26,2022-10-27,2023-10-26,0.0,2480.0,,2480.0,Renewed,12 month,No,360.0,False,Wilson,Donna,P
1404,"Wilson, Donna P.",2023-10-27,2025-10-26,2022-10-27,2023-10-26,0.0,2480.0,,2480.0,Did Not Renew,24 month,No,720.0,False,Wilson,Donna,P
1902,"Scott, David B.",2023-10-27,2024-10-26,2022-10-27,2023-10-26,1260.0,1490.0,18.25,230.0,Renewed,12 month,No,360.0,False,Scott,David,B
2203,"Hernandez, Victoria J.",2023-10-27,2024-10-26,2022-10-27,2023-10-26,0.0,2280.0,,2280.0,Did Not Renew,12 month,No,360.0,False,Hernandez,Victoria,J
2203,"Hernandez, Victoria J.",2023-10-27,2025-10-26,2022-10-27,2023-10-26,0.0,2280.0,,2280.0,Renewed,24 month,No,720.0,False,Hernandez,Victoria,J
2504,"Rivera, Nathan M.",2023-10-27,2024-10-26,2022-10-31,2023-10-26,2100.0,2275.0,8.33,175.0,Renewed,12 month,No,360.0,False,Rivera,Nathan,M
1217,"Chavez, Christopher N.",2023-10-27,2024-01-26,2022-10-27,2023-10-26,0.0,1425.0,,1425.0,Renewed,3 month,No,90.0,False,Chavez,Christopher,N
1217,"Chavez, Christopher N.",2023-10-27,2024-10-26,2022-10-27,2023-10-26,0.0,1425.0,,1425.0,Did Not Renew,12 month,No,360.0,False,Chavez,Christopher,N
1217,"Chavez, Christopher N.",2023-10-27,2024-04-26,2023-10-27,2024-01-26,0.0,1425.0,,1425.0,Renewed,6 month,No,180.0,False,Chavez,Christopher,N
1107,"Morris, Jeffrey D.",2023-10-29,2024-10-28,2022-10-29,2023-10-28,1475.0,1620.0,9.83,145.0,Renewed,12 month,No,360.0,False,Morris,Jeffrey,D
1124,"Cabral Nunez, Stephen E.",2023-10-29,2025-10-28,2022-10-29,2023-10-28,0.0,1635.0,,1635.0,Renewed,24 month,No,720.0,False,Cabral Nunez,Stephen,E
1206,"Miller, Eric F.",2023-10-31,2024-10-30,2022-10-31,2023-10-30,0.0,1695.0,,1695.0,Renewed,12 month,No,360.0,False,Miller,Eric,F
2306,"Green, Amanda M.",2023-11-01,2024-10-31,2023-07-27,2023-10-31,2100.0,2280.0,8.57,180.0,Renewed,12 month,No,360.0,False,Green,Amanda,M
1602,"Hill, Jason P.",2023-11-07,2024-11-06,2022-11-07,2023-11-06,1430.0,1450.0,1.4,20.0,Renewed,12 month,No,360.0,False,Hill,Jason,P
2004,"Bailey, Deborah Q.",2023-11-08,2024-11-07,2023-05-08,2023-11-07,2075.0,2075.0,0.0,0.0,Renewed,12 month,No,360.0,False,Bailey,Deborah,Q
1603,"Davis, Joshua R.",2023-11-14,2024-11-13,2023-05-13,2023-11-13,2200.0,2200.0,0.0,0.0,Renewed,12 month,No,360.0,False,Davis,Joshua,R
2503,"Nguyen, Sharon A.",2023-11-28,2026-11-26,2023-06-27,2024-01-26,0.0,2400.0,,2400.0,Renewed,35 mo 30 day,Yes,1080.0,False,Nguyen,Sharon,A
2107,"James, Timothy S.",2023-12-15,2024-06-14,2022-12-15,2023-12-14,1660.0,1660.0,0.0,0.0,Renewed,6 month,No,180.0,False,James,Timothy,S
1807,"Phillips, Frank T.",2023-12-24,2024-12-23,2022-12-24,2023-12-23,1630.0,1490.0,-8.59,-140.0,Renewed,12 month,No,360.0,False,Phillips,Frank,T
1210,"Lee, Gregory U.",2024-01-07,2025-01-06,2023-04-07,2024-01-06,1955.0,1955.0,0.0,0.0,Renewed,12 month,No,360.0,False,Lee,Gregory,U
1210,"Lee, Gregory U.",2024-01-07,2024-07-06,2023-04-07,2024-01-06,1955.0,1955.0,0.0,0.0,Did Not Renew,6 month,No,180.0,False,Lee,Gregory,U
1402,"Perez, Benjamin V.",2024-01-12,2025-03-26,2023-10-18,2024-10-26,0.0,0.0,,0.0,Renewed,14 mo 15 day,Yes,435.0,False,Perez,Benjamin,V
1108,"Garcia, Donald W.",2024-01-15,2025-01-14,2023-01-15,2024-01-14,2003.0,2003.0,0.0,0.0,Renewed,12 month,No,360.0,False,Garcia,Donald,W
1108,"Garcia, Donald W.",2024-01-15,2024-07-14,2023-01-15,2024-01-14,2003.0,2003.0,0.0,0.0,Did Not Renew,6 month,No,180.0,False,Garcia,Donald,W
2204,"Morgan, Patricia J.",2024-01-27,2025-01-26,2023-01-27,2024-01-26,1880.0,2130.0,13.3,250.0,Did Not Renew,12 month,No,360.0,False,Morgan,Patricia,J
2204,"Morgan, Patricia J.",2024-01-27,2024-07-26,2023-01-27,2024-01-26,1880.0,1955.0,3.99,75.0,Renewed,6 month,No,180.0,False,Morgan,Patricia,J
1203,"Mitchell, Barbara K.",2024-01-27,2026-01-26,2023-01-27,2024-01-26,1475.0,1795.0,21.69,320.0,Renewed,24 month,No,720.0,False,Mitchell,Barbara,K
1204,"Ramos, Maria L.",2024-01-27,2025-01-26,2022-11-01,2024-01-26,1475.0,1795.0,21.69,320.0,Did Not Renew,12 month,No,360.0,False,Ramos,Maria,L
1204,"Ramos, Maria L.",2024-01-27,2024-07-26,2022-11-01,2024-01-26,1475.0,1795.0,21.69,320.0,Renewed,6 month,No,180.0,False,Ramos,Maria,L
2106,"Howard, Lauren B.",2024-02-01,2025-01-26,2023-04-27,2024-04-26,0.0,0.0,,0.0,Renewed,11 mo 26 day,Yes,356.0,False,Howard,Lauren,B
1501,"Baker, Cynthia Y.",2024-02-24,2025-02-23,2023-02-24,2024-02-23,1545.0,1545.0,0.0,0.0,Did Not Renew,12 month,No,360.0,False,Baker,Cynthia,Y
1501,"Baker, Cynthia Y.",2024-02-24,2024-08-23,2023-02-24,2024-02-23,1545.0,1545.0,0.0,0.0,Renewed,6 month,No,180.0,False,Baker,Cynthia,Y
1120,"Stewart, Christina P.",2024-02-27,2025-02-26,,,,1425.0,,,Did Not Renew,12 month,No,360.0,False,Stewart,Christina,P
1120,"Stewart, Christina P.",2024-02-27,2024-08-26,,,,1425.0,,,Did Not Renew,6 month,No,180.0,False,Stewart,Christina,P
2005,"Flores, Christine N.",2024-03-01,2025-02-28,2023-09-01,2024-02-29,2200.0,2200.0,0.0,0.0,Did Not Renew,12 month,No,360.0,False,Flores,Christine,N
2005,"Flores, Christine N.",2024-03-01,2024-08-31,2023-09-01,2024-02-29,2200.0,2200.0,0.0,0.0,Renewed,6 month,No,180.0,False,Flores,Christine,N
1403,"Morales, Richard A.",2024-03-08,2025-03-07,,,,2785.0,,,Did Not Renew,12 month,No,360.0,False,Morales,Richard,A
1502,"Murphy, Michael B.",2024-03-27,2026-03-26,2023-04-01,2024-03-26,1605.0,1605.0,0.0,0.0,Renewed,24 month,No,720.0,False,Murphy,Michael,B
1802,"Wilson, Emily R.",2024-03-27,2025-03-26,2023-03-27,2024-03-26,1290.0,1630.0,26.36,340.0,Renewed,12 month,No,360.0,False,Wilson,Emily,R
2104,"Gomez, Helen S.",2024-03-27,,2023-03-27,2024-03-26,1880.0,2130.0,13.3,250.0,Month To Month,Month To Month,No,,True,Gomez,Helen,S
1205,"Gray, Thomas V.",2024-03-27,2025-03-26,2023-03-27,2024-03-26,0.0,1710.0,,1710.0,Renewed,12 month,No,360.0,False,Gray,Thomas,V
1205,"Gray, Thomas V.",2024-03-27,2026-03-26,2023-03-27,2024-03-26,0.0,1710.0,,1710.0,Did Not Renew,24 month,No,720.0,False,Gray,Thomas,V
