Applicant Name,Calculated Assessment,Overridden At
Frank  T. Phillips,Conditions Apply,2022-11-01 14:32:11
Anthony  T. Cooper,Conditions Apply,2022-11-09 14:28:20
Mary  U. White,Conditions Apply,
Scott  V. Adams,Criteria Met,
Brandon  W. Johnson,Conditions Apply,2022-10-10 13:03:51
Andrew  Y. Carter  (Co-signer for Scott Adams),Criteria Met,
Zachary  A. Collins,Conditions Apply,2022-10-10 09:36:09
Adam  B. Thompson,Criteria Met,
Julie  C. Richardson  (Co-signer for Julie Richardson),Criteria Met,
Carol  D. Walker,Conditions Apply,
Christopher  N. Chavez,Conditions Apply,2022-09-22 09:17:27
Kelly  E. Turner,Criteria Met,
Jack  L. Watson,Criteria Met,
Jason  P. Hill,Criteria Not Met,2022-09-16 11:27:25
Nancy  G. Kim,Criteria Met,
Walter  F. Diaz  (Co-signer for Nancy Kim),Criteria Met,
Sharon  G. Castro Fuentes,Conditions Apply,2022-09-12 14:28:52
Sarah  H. Gonzalez,Conditions Apply,2022-09-12 13:31:49
Samuel  J. Edwards,Conditions Apply,2022-09-12 13:32:49
Stephanie  K. Mendoza,Conditions Apply,2022-09-07 09:37:03
Susan  L. Cox,Conditions Apply,2022-09-06 15:28:41
Jonathan  M. Jones,Conditions Apply,2022-09-06 15:27:31
Angela  N. Robinson,Criteria Met,
Nathan  M. Rivera,Conditions Apply,2022-09-06 14:42:09
Karen  P. Martin,Conditions Apply,2022-08-26 13:24:19
Katherine  D. Allen,Conditions Apply,2022-08-22 15:38:27
Linda  Q. Parker,Conditions Apply,2022-08-22 15:39:28
Rebecca  R. Allen  (Co-signer for Rebecca Allen),Criteria Met,
William  S. Thomas,Conditions Apply,2022-08-19 09:26:56
Anna  T. Torres,Conditions Apply,
Christine  U. Kim,Conditions Apply,2022-08-15 13:21:45
George  H. Ruiz,Conditions Apply,2022-08-15 09:11:17
Donna  B. Martin,Criteria Met,
Janet  V. Ruiz,Criteria Met,
Jennifer  W. Bennett,Conditions Apply,2022-08-12 10:02:53
Alexander  Y. King,Conditions Apply,2022-08-06 20:26:01
Peter  A. Watson,Conditions Apply,2022-08-06 20:26:55
Kimberly  B. Rivera,Conditions Apply,2022-08-09 13:48:06
Jonathan  P. Evans,Conditions Apply,
Betty  K. King,Criteria Met,
Samantha  C. Chavez,Criteria Met,
Steven  W. Cox,Conditions Apply,2022-07-26 08:24:23
Jose  D. Hill,Conditions Apply,2022-07-25 10:31:55
Dennis  E. Bailey,Criteria Not Met,2022-07-22 12:48:03
Debra  F. Davis,Criteria Met,
Gary  G. James,Criteria Not Met,
James  J. Bennett,Conditions Apply,2022-06-30 14:04:23
Elizabeth  E. Thomas,Criteria Met,
David  H. Phillips,Criteria Met,
Paul  J. Lee,Conditions Apply,
Emma  F. Torres,Conditions Apply,2022-06-23 09:32:20
Lisa  C. Parker,Conditions Apply,2022-06-21 15:42:12
Jeffrey  K. Perez,Conditions Apply,2022-06-21 15:37:38
Stephen  L. Garcia,Conditions Apply,
Eric  M. Baker,Conditions Apply,2022-06-16 20:04:55
Aaron  A. Robinson,Conditions Apply,2022-06-14 20:22:36
Carolyn  N. Morales,Conditions Apply,2022-06-14 09:01:20
Jerry  P. Murphy  (Co-signer for Matthew Mendoza),Criteria Met,
Matthew  V. Mendoza,Criteria Met,
Patricia  Q. Nguyen  (Co-signer for Matthew Mendoza),Criteria Met,
Barbara  R. Reyes,Conditions Apply,2022-05-18 12:16:41
Ashley  M. Smith,Criteria Met,
Maria  S. Reed  (Co-signer for Ashley Anderson),Conditions Apply,2022-05-14 14:42:54
Ashley  T. Anderson,Conditions Apply,2022-05-16 12:50:24
Raymond  U. Campbell,Criteria Met,
Joseph  S. Jackson,Conditions Apply,2022-05-13 19:11:06
Melissa  R. Diaz,Criteria Met,
Judith  M. Thompson,Criteria Met,
Charles  E. Cruz,Criteria Met,
Christina  V. Evans,Conditions Apply,2022-04-26 10:27:59
Nicole  K. Carter,Criteria Met,
Pamela  P. Walker,Criteria Met,
Jacob  Y. Jones,Criteria Met,
Evelyn  W. Clark,Conditions Apply,2022-04-22 15:42:17
Emily  Y. Hughes  (Co-signer for Emily Hughes),Conditions Apply,2022-06-13 09:57:19
Helen  A. Brown,Criteria Met,
Henry  B. Ramirez,Criteria Met,
Victoria  C. Hernandez,Criteria Met,
Thomas  D. Gutierrez,Criteria Not Met,2022-06-13 09:56:47
Rachel  J. Johnson,Criteria Met,
Kenneth  E. Flores,Criteria Met,
Amanda  F. Green,Criteria Met,
Ronald  N. Richardson,Conditions Apply,2022-04-06 15:44:23
Tyler  G. Wright,Criteria Met,
Lauren  H. Wood,Criteria Met,
Sandra  J. Roberts,Criteria Met,
Shirley  K. Lewis  (Co-signer for Charles Moore),Criteria Met,
Charles  L. Moore,Criteria Met,
Brian  L. Collins,Criteria Met,
Diane  M. Nelson,Criteria Met,
Kyle  N. Sanchez  (Co-signer for Daniel Williams),Criteria Met,
Daniel  P. Williams,Conditions Apply,2022-04-01 13:10:52
Rachel  Q. Kelly  (Co-signer for Nicole Scott),Criteria Met,
Nicole  R. Scott,Criteria Met,
Brian  S. Martinez,Conditions Apply,2022-03-29 07:28:01
Judith  T. Morris,Conditions Apply,2022-03-25 13:59:58
Ronald  U. Peterson  (Co-signer for Judith Morris),Criteria Met,
Pamela  V. Miller,Conditions Apply,2022-03-25 16:30:49
Douglas  W. Ward  (Co-signer for Pamela Miller),Criteria Met,
Melissa  Y. Harris,Conditions Apply,
Joseph  A. Morgan,Conditions Apply,2022-03-22 08:06:21
Douglas  Q. Turner,Criteria Not Met,2022-03-21 13:11:33
Kevin  B. Mitchell,Criteria Met,
Mark  C. Ramos  (Co-signer for Kevin Mitchell),Criteria Met,
Matthew  D. Smith  (Co-signer for Steven Taylor),Conditions Apply,2022-03-18 20:08:22
Steven  E. Taylor,Conditions Apply,2022-03-18 20:07:58
Jacob  F. Stewart,Conditions Apply,2022-03-17 15:27:10
Deborah  Q. Bailey,Conditions Apply,2022-03-16 19:15:58
Diane  F. Cooper,Criteria Met,
Aaron  G. Rogers,Conditions Apply,2022-03-16 11:22:38
Donna  H. Wilson  (Co-signer for Emily Wilson),Criteria Met,
Emily  R. Wilson,Conditions Apply,2022-03-16 10:29:01
Lisa  J. Gomez,Criteria Met,
Katherine  K. Lopez,Criteria Met,
Elizabeth  L. Cook,Criteria Met,
Emma  M. Gray,Criteria Met,
Victoria  U. Cook,Criteria Met,
Nancy  N. Rodriguez,Criteria Met,
George  P. Brooks  (Co-signer for Kevin Gonzalez),Criteria Met,
James  Q. Young,Criteria Met,
James  Q. Young,Conditions Apply,
Betty  R. Howard,Criteria Not Met,
Betty  R. Howard  (Co-signer for Betty Howard),Conditions Apply,
Jack  S. Ortiz,Criteria Not Met,
Kevin  T. Gonzalez,Conditions Apply,2022-03-11 09:31:13
Nathan  T. Hall,Criteria Met,
Christopher  U. Cruz,Conditions Apply,2022-03-09 07:09:46
Jason  V. Cooper,Criteria Met,
Helen  S. Gomez,Criteria Met,
Deborah  W. White,Criteria Not Met,
Joshua  Y. Adams,Criteria Met,
Timothy  A. Johnson,Criteria Met,
Frank  B. Carter  (Co-signer for Gregory Collins),Criteria Met,
Thomas  V. Gray,Criteria Met,
Christina  P. Stewart,Conditions Apply,2022-02-21 09:26:23
Benjamin  D. Thompson,Conditions Apply,
Donald  E. Richardson  (Co-signer for Lauren Howard),Conditions Apply,2022-02-17 09:32:39
Cynthia  F. Walker,Criteria Not Met,
Lauren  B. Howard,Criteria Not Met,2022-02-17 09:33:54
Kenneth  W. Rodriguez,Criteria Met,
Kenneth  W. Rodriguez,Conditions Apply,
Richard  G. Turner,Criteria Met,
Michael  H. Diaz,Criteria Met,
Jessica  J. Jackson,Conditions Apply,2022-02-09 11:49:56
Amy  K. Gonzalez,Conditions Apply,2022-02-17 08:47:01
Evelyn  Q. Rogers,Conditions Apply,2022-02-07 10:04:15
Heather  L. Edwards  (Co-signer for Heather Edwards),Criteria Met,
Shirley  D. Hall,Criteria Met,
Margaret  M. Mendoza,Conditions Apply,2022-02-02 12:02:13
Larry  N. Cox  (Co-signer for Justin Jones),Conditions Apply,2022-02-01 10:25:58
Brenda  Q. Robinson,Criteria Not Met,
Kyle  G. White,Conditions Apply,2022-01-30 14:08:39
Justin  P. Jones,Conditions Apply,2022-01-30 14:09:23
Megan  R. Martin,Criteria Met,
Joyce  S. Parker,Criteria Met,
Joan  T. Allen,Criteria Met,
Peter  S. Roberts,Conditions Apply,2022-01-26 07:56:30
Nicholas  U. Thomas,Criteria Met,
Janet  P. Green,Conditions Apply,2022-01-20 13:38:18
Laura  V. Torres  (Co-signer for Tyler Young),Criteria Met,
Debra  Y. Williams,Criteria Met,
Mark  U. Edwards,Conditions Apply,2022-01-14 14:45:10
Tyler  A. Young,Conditions Apply,2022-01-20 13:18:22
Amanda  Y. Brooks,Criteria Met,
Robert  W. Kim,Conditions Apply,2022-01-11 08:41:05
Kathleen  Y. Ruiz,Criteria Met,
Michelle  A. Bennett,Criteria Met,
Ryan  B. King  (Co-signer),Conditions Apply,2021-12-14 19:36:09
Edward  C. Watson,Conditions Apply,2021-12-14 19:36:43
Patricia  J. Morgan,Criteria Met,
John  D. Rivera,Criteria Met,
Maria  L. Ramos,Criteria Met,
Dorothy  E. Chavez,Criteria Not Met,2021-12-12 16:53:09
Anthony  F. Hill,Conditions Apply,2021-12-08 14:12:47
Raymond  N. Taylor,Conditions Apply,2021-12-06 09:35:47
Mary  G. Bailey  (Co-signer for Scott Davis),Conditions Apply,2021-12-02 10:50:38
Scott  H. Davis,Conditions Apply,2021-12-02 10:50:59
Brandon  J. James,Criteria Met,
Andrew  K. Phillips,Criteria Met,
Zachary  L. Lee,Criteria Met,
Adam  M. Perez,Conditions Apply,2021-11-22 15:11:08
Julie  N. Garcia,Conditions Apply,
Walter  Y. Murphy,Criteria Met,
Carol  P. Baker,Criteria Met,
Kelly  Q. Morales,Conditions Apply,2021-11-03 15:23:50
Walter  R. Murphy,Criteria Met,
Sharon  S. Nguyen,Conditions Apply,2021-11-05 15:24:44
Sarah  T. Reyes,Conditions Apply,2021-10-26 11:32:01
Eric  F. Miller,Criteria Met,
Samuel  U. Reed,Criteria Met,
Stephanie  V. Anderson  (Co-signer for Samuel Reed),Criteria Met,
Susan  W. Campbell,Criteria Met,
Jonathan  Y. Evans,Criteria Met,
Paul  C. Martinez,Conditions Apply,2021-10-12 12:10:21
Angela  A. Clark,Conditions Apply,
Karen  B. Hughes  (Co-signer for Jerry Harris),Criteria Met,
Jerry  H. Harris,Conditions Apply,2021-10-11 10:33:59
Linda  C. Brown,Criteria Met,
Rebecca  D. Ramirez,Criteria Met,
William  E. Cordero Vega,Criteria Met,
Anna  F. Gutierrez,Conditions Apply,2021-09-10 09:30:43
Gary  A. Kelly,Criteria Met,
Christine  G. Flores,Criteria Met,
Janet  H. Green,Criteria Met,
Charles  E. Cruz,Conditions Apply,2021-09-09 15:13:51
Jennifer  J. Wright,Conditions Apply,2021-09-03 13:56:20
Carolyn  G. Ward,Criteria Met,
Alexander  K. Wood,Criteria Met,
Peter  L. Roberts,Criteria Not Met,
Kimberly  M. Lewis,Criteria Met,
Samantha  N. Moore,Criteria Met,
Kimberly  T. Lewis,Criteria Met,
Jose  P. Nelson,Criteria Met,
Dennis  Q. Sanchez,Criteria Met,
Stephen  E. Cabral Nunez,Conditions Apply,2021-08-18 12:15:27
Debra  R. Williams,Criteria Met,
Gary  S. Kelly,Conditions Apply,2021-08-16 12:31:35
David  T. Scott,Conditions Apply,2021-08-13 08:33:14
Paul  W. Collins,Conditions Apply,2021-09-01 12:18:30
Paul  U. Martinez,Criteria Not Met,2021-08-09 12:18:08
Jeffrey  D. Morris,Criteria Met,
Jeffrey  V. Morris,Conditions Apply,2021-08-16 16:00:06
Barbara  K. Mitchell,Criteria Met,
Stephen  W. Peterson  (Co-signer for Barbara Mitchell),Criteria Met,
Eric  Y. Miller  (Co-signer for Carolyn Ward),Criteria Met,
Jerry  B. Harris,Conditions Apply,2021-08-03 10:24:08
Patricia  C. Morgan,Criteria Met,
Barbara  D. Mitchell,Conditions Apply,2021-08-02 10:15:02
Maria  E. Ramos,Criteria Met,
Ashley  F. Smith  (Co-signer for Maria Ramos),Criteria Met,
Raymond  G. Taylor,Criteria Met,
Carolyn  A. Ward,Conditions Apply,2021-08-04 14:53:32
Christina  H. Stewart,Conditions Apply,2021-08-03 14:40:21
Susan  E. Campbell,Criteria Met,
David  B. Scott,Conditions Apply,2021-07-16 16:13:56
Evelyn  J. Rogers,Conditions Apply,2021-07-16 16:01:59
Emily  K. Wilson,Criteria Met,
Kathleen  F. Ruiz,Criteria Met,
Helen  L. Gomez  (Co-signer for Kathleen Ruiz),Criteria Met,
Michelle  G. Bennett  (Co-signer for Michelle Bennett),Criteria Met,
Michelle  G. Bennett,Conditions Apply,2021-07-12 11:54:25
Kelly  J. Ward,Conditions Apply,2021-07-14 10:22:13
Jennifer  Q. Wright,Criteria Met,
Henry  M. Lopez  (Co-signer for Dennis Sanchez),Criteria Met,
Victoria  N. Cook,Conditions Apply,2021-07-08 10:35:33
Alexander  R. Wood,Criteria Met,
Dennis  W. Sanchez,Conditions Apply,2021-07-08 11:51:55
Thomas  P. Gray,Criteria Met,
Kenneth  Q. Rodriguez,Criteria Met,
Amanda  R. Brooks  (Co-signer for Tyler Young),Criteria Met,
Lauren  T. Howard,Criteria Met,
Sandra  U. Ortiz  (Co-signer for Lauren Howard),Criteria Met,
Shirley  V. Hall,Conditions Apply,2021-06-28 14:36:03
Charles  W. Cruz,Criteria Met,
Diane  Y. Cooper,Conditions Apply,2021-07-08 10:34:57
Kyle  A. White,Criteria Met,
Daniel  B. Adams,Criteria Met,
Rachel  C. Johnson,Conditions Apply,2021-06-11 11:06:09
Karen  H. Hughes,Criteria Met,
Nicole  D. Carter,Criteria Met,
Brian  E. Collins,Criteria Met,
Sharon  A. Nguyen,Criteria Met,
Tyler  S. Young,Conditions Apply,2021-07-07 11:15:26
Linda  J. Brown,Criteria Met,
Judith  F. Espinoza Camacho,Conditions Apply,2021-05-27 11:18:39
Ronald  G. Richardson,Criteria Not Met,
Benjamin  H. Morris,Criteria Met,
Christine  N. Flores,Criteria Met,
Pamela  H. Walker  (Co-signer for Pamela Walker),Criteria Met,
Douglas  J. Turner,Conditions Apply,2021-05-19 15:17:17
Melissa  K. Diaz  (Co-signer for Joseph Jackson),Conditions Apply,2021-05-19 14:41:34
Joseph  L. Jackson,Criteria Met,
Kevin  M. Gonzalez  (Co-signer for Kevin Gonzalez),Criteria Not Met,2021-05-19 14:37:42
Mark  N. Edwards  (Co-signer for Douglas Turner),Conditions Apply,2021-05-19 14:39:53
Matthew  P. Mendoza,Criteria Met,
Jonathan  F. Evans,Criteria Met,
Steven  Q. Cox,Criteria Met,
Brandon  Q. James,Criteria Met,
Jacob  R. Jones,Criteria Met,
Aaron  S. Robinson,Criteria Met,
Stephanie  D. Anderson,Criteria Met,
Brenda  W. Robinson,Conditions Apply,2021-04-05 10:56:48
Donna  T. Martin,Criteria Met,
Lisa  U. Parker,Criteria Met,
Angela  G. Clark,Criteria Met,
Katherine  V. Allen  (Co-signer for Anna Gutierrez),Criteria Met,
Anna  M. Gutierrez,Criteria Met,
Elizabeth  W. Thomas,Conditions Apply,2021-03-25 15:12:22
Zachary  S. Lee,Criteria Met,
Samuel  C. Reed,Criteria Met,
Carol  V. Baker,Criteria Met,
Emma  Y. Torres,Criteria Met,
Nancy  A. Kim,Criteria Met,
Kelly  W. Morales,Criteria Met,
Andrew  R. Phillips,Conditions Apply,2021-03-15 11:57:36
George  B. Ruiz,Criteria Not Met,2021-03-09 12:21:50
James  C. Bennett,Criteria Met,
William  L. Hernandez,Criteria Met,
Ryan  H. King,Conditions Apply,2021-03-06 11:26:08
Betty  D. King,Conditions Apply,2021-03-06 11:24:29
Rebecca  K. Ramirez,Criteria Met,
Benjamin  K. Thompson,Conditions Apply,2021-02-25 15:56:42
Jack  E. Watson  (Co-signer for Benjamin Thompson),Criteria Met,
Nathan  F. Rivera,Conditions Apply,2021-02-23 09:29:09
Christopher  G. Chavez,Criteria Not Met,2021-02-17 09:13:48
Jason  H. Hill,Criteria Met,
Deborah  J. Bailey,Criteria Met,
Joshua  K. Davis,Criteria Not Met,2021-02-09 12:10:38
Timothy  L. James,Criteria Met,
Frank  M. Phillips  (Co-signer for Timothy James),Criteria Met,
Jose  V. Nelson,Conditions Apply,2021-02-09 09:19:15
Gregory  N. Lee  (Co-signer for Gregory Lee),Criteria Met,
Benjamin  P. Perez  (Co-signer for Jose Nelson),Criteria Met,
Donald  Q. Garcia,Conditions Apply,2021-02-09 09:19:44
Cynthia  R. Baker,Conditions Apply,
Richard  S. Morales,Criteria Met,
Julie  U. Garcia,Conditions Apply,2021-01-25 08:24:02
Michael  T. Murphy,Conditions Apply,2021-01-20 08:57:23
Jessica  U. Nguyen,Conditions Apply,
Amy  V. Reyes,Conditions Apply,
Heather  W. Reed,Criteria Met,
Mary  N. Bailey,Criteria Met,
Margaret  Y. Anderson,Conditions Apply,
Margaret  T. Mendoza,Conditions Apply,2020-12-08 15:52:39
Justin  V. Jones,Conditions Apply,2020-12-21 08:28:45
Larry  A. Campbell,Conditions Apply,2020-12-22 12:20:16
Justin  B. Evans,Criteria Met,
Dorothy  L. Chavez,Conditions Apply,2020-09-29 12:23:27
Brenda  C. Clark,Criteria Met,
John  K. Rivera,Conditions Apply,2020-09-25 15:21:11
Megan  D. Hughes  (Co-signer for John Rivera),Conditions Apply,2020-09-25 15:11:59
Joyce  E. Brown  (Co-signer for Anthony Hill),Criteria Met,
Anthony  M. Hill,Criteria Met,
Joan  F. Ramirez,Criteria Met,
Aaron  N. Rogers,Criteria Met,
Nicholas  G. Hernandez  (Co-signer for Edward Watson),Criteria Met,
Edward  J. Watson,Conditions Apply,2020-08-06 19:44:46
Laura  H. Gutierrez,Conditions Apply,2020-08-28 13:13:37
Robert  J. Flores,Criteria Met,
Kathleen  K. Green,Conditions Apply,
Michelle  L. Wright,Conditions Apply,
Ryan  M. Wood,Criteria Met,
Joyce  A. Parker,Criteria Met,
Adam  T. Perez,Criteria Met,
Edward  N. Roberts  (Co-signer for Adam Perez),Criteria Met,
John  P. Lewis,Conditions Apply,2020-05-28 15:40:04
Dorothy  Q. Moore,Criteria Met,
Anthony  R. Nelson,Criteria Not Met,2020-05-19 14:44:35
Joan  B. Allen,Conditions Apply,2020-05-14 05:53:41
Mary  S. Sanchez,Conditions Apply,2020-05-12 11:01:24
Scott  T. Williams,Conditions Apply,2020-05-08 15:47:18
Brandon  U. Kelly,Criteria Met,
Nicholas  C. Thomas,Criteria Met,
Kyle  U. Sanchez,Conditions Apply,2020-05-06 15:26:02
Andrew  V. Scott,Conditions Apply,2020-05-06 14:38:37
Robert  E. Kim,Criteria Met,
Zachary  W. Martinez,Conditions Apply,
Adam  Y. Morris,Conditions Apply,2020-05-05 13:33:20
Cynthia  M. Walker,Conditions Apply,2020-05-05 13:28:33
Julie  A. Peterson  (Co-signer),Conditions Apply,2020-05-05 13:35:04
George  V. Brooks,Conditions Apply,2020-05-04 10:06:02
Carol  B. Miller  (Co-signer),Conditions Apply,2020-05-02 09:22:03
Kelly  C. Ward,Conditions Apply,2020-05-04 09:10:39
Walter  D. Harris,Conditions Apply,2020-05-04 09:11:05
Sharon  E. Morgan,Conditions Apply,2020-04-22 15:42:18
Jessica  Q. Jackson,Criteria Met,
Douglas  E. Ward,Criteria Met,
Sarah  F. Mitchell,Criteria Met,
Megan  Y. Martin,Criteria Met,
Amy  R. Gonzalez,Criteria Met,
Samuel  G. Ramos,Conditions Apply,
Stephanie  H. Smith,Criteria Not Met,
Susan  J. Taylor,Conditions Apply,
Jonathan  K. Stewart,Criteria Met,
Angela  L. Rogers,Criteria Met,
Jason  D. Cooper,Criteria Met,
Michael  P. Diaz,Criteria Met,
Karen  M. Wilson,Conditions Apply,2020-03-20 17:58:14
Linda  N. Gomez,Criteria Met,
Rebecca  P. Lopez,Criteria Not Met,
Heather  S. Edwards,Conditions Apply,2020-03-18 15:10:15
William  Q. Cook,Conditions Apply,2020-03-23 13:04:47
Anna  R. Gray  (Co-signer),Criteria Met,
Gregory  J. Collins,Conditions Apply,2020-03-20 14:56:24
Melissa  F. Harris,Conditions Apply,2020-03-16 16:08:17
Timothy  G. Johnson,Criteria Met,
Christine  S. Rodriguez,Conditions Apply,2020-03-13 10:17:19
Donald  L. Richardson,Criteria Met,
Janet  T. Brooks,Conditions Apply,2020-03-12 15:14:43
Jennifer  U. Young  (Co-signer),Criteria Met,
Scott  P. Davis,Criteria Met,
Alexander  V. Howard,Criteria Met,
Peter  W. Ortiz  (Co-signer),Criteria Met,
Kimberly  Y. Hall,Conditions Apply,2020-02-28 22:22:29
Samantha  A. Cruz,Criteria Met,
Christopher  C. Cruz,Conditions Apply,2020-02-27 09:36:14
Jose  B. Cooper,Criteria Met,
Frank  H. Carter,Criteria Met,
Dennis  C. White,Conditions Apply,2020-02-21 16:51:28
Deborah  E. White,Criteria Met,
Debra  D. Adams,Criteria Met,
Gary  E. Johnson,Conditions Apply,2020-02-20 16:54:23
Larry  U. Cox,Conditions Apply,2020-02-18 16:14:26
Joshua  F. Adams,Criteria Met,
David  F. Carter,Criteria Met,
Paul  G. Collins,Criteria Met,
James  W. Young,Conditions Apply,2020-02-03 13:46:04
Jack  A. Ortiz,Conditions Apply,2020-02-03 16:46:11
Betty  Y. Howard,Criteria Not Met,2020-02-07 16:07:52
Richard  N. Turner,Criteria Met,
Laura  D. Torres,Criteria Met,
Jeffrey  H. Thompson,Conditions Apply,2020-01-18 08:21:12
Stephen  J. Richardson  (Co-signer),Criteria Met,
Eric  K. Walker,Conditions Apply,
Carolyn  L. Turner,Conditions Apply,2020-01-07 15:47:31
Jerry  M. Diaz,Conditions Apply,2019-12-28 09:32:01
Patricia  N. Jackson,Conditions Apply,2019-12-21 09:37:45
Emma  T. Gray,Criteria Met,
Barbara  P. Gonzalez,Conditions Apply,2019-12-21 09:35:58
Lisa  Q. Gomez,Conditions Apply,2019-12-19 19:03:16
Nancy  U. Rodriguez,Criteria Met,
Maria  Q. Edwards,Conditions Apply,2019-12-03 13:13:08
Matthew  K. Smith,Conditions Apply,2019-11-25 13:59:16
Ashley  R. Mendoza,Conditions Apply,2019-11-20 10:20:57
Nathan  B. Hall,Conditions Apply,2019-11-08 07:56:14
Raymond  S. Cox,Criteria Met,
Christina  T. Jones,Conditions Apply,2019-10-28 13:35:51
Jacob  M. Stewart,Conditions Apply,2019-10-28 13:35:30
Evelyn  U. Robinson,Conditions Apply,
Emily  V. Martin,Criteria Met,
Helen  W. Parker,Conditions Apply,2019-09-30 14:22:16
Henry  Y. Allen,Criteria Not Met,2019-09-30 14:21:46
Victoria  A. Thomas,Conditions Apply,2019-08-22 10:41:09
Thomas  B. Torres,Conditions Apply,2019-08-09 13:31:56
Kenneth  C. Kim,Conditions Apply,2019-07-24 15:39:16
Mark  J. Ramos,Criteria Met,
Judith  B. Morris,Criteria Met,
Amanda  D. Ruiz,Conditions Apply,
Joseph  G. Morgan,Criteria Met,
Tyler  E. Bennett,Criteria Met,
Pamela  D. Miller,Criteria Met,
Lauren  F. King,Criteria Met,
Sandra  G. Watson,Criteria Met,
Ronald  C. Peterson,Criteria Met,
Shirley  H. Rivera,Conditions Apply,2019-05-17 11:54:07
Charles  J. Chavez,Criteria Met,
Diane  K. Hill,Conditions Apply,2019-05-08 11:54:47
Kyle  L. Bailey  (Co-signer),Conditions Apply,2019-05-01 14:18:52
Kyle  L. Bailey  (Co-signer),Conditions Apply,
Daniel  V. Williams,Conditions Apply,2019-05-08 10:45:41
Daniel  M. Davis,Criteria Not Met,2019-05-08 10:43:42
Rachel  N. James,Criteria Met,
Nicole  P. Phillips,Conditions Apply,2019-06-04 12:37:20
Brian  Q. Lee,Conditions Apply,
Judith  R. Perez  (Co-signer),Criteria Met,
Ronald  S. Garcia,Conditions Apply,2019-06-04 12:37:45
Pamela  T. Baker  (Co-signer),Criteria Met,
Douglas  U. Morales,Conditions Apply,
Charles  S. Moore,Criteria Met,
Melissa  V. Murphy  (Co-signer),Criteria Met,
Joseph  W. Nguyen,Conditions Apply,2019-03-21 14:59:36
Kevin  Y. Reyes,Conditions Apply,
Thomas  K. Gutierrez,Criteria Met,
Kenneth  L. Flores,Conditions Apply,2019-02-20 14:47:12
Mark  A. Reed,Criteria Met,
Matthew  B. Anderson,Conditions Apply,2019-02-08 11:11:08
Steven  C. Campbell,Criteria Met,
Jacob  D. Evans,Criteria Met,
Emily  F. Hughes,Conditions Apply,2019-01-25 15:47:15
Aaron  E. Clark  (Co-signer),Conditions Apply,2019-01-09 15:08:30
Evelyn  E. Clark,Conditions Apply,2019-01-09 15:10:00
Donna  F. Hughes,Criteria Met,
Lisa  G. Brown,Criteria Met,
Katherine  H. Ramirez,Criteria Met,
Elizabeth  J. Hernandez,Conditions Apply,2018-09-13 15:37:45
Emma  K. Gutierrez,Criteria Met,
Kevin  H. Mitchell,Criteria Met,
Nancy  L. Flores,Conditions Apply,2018-08-29 12:41:36
George  M. Green,Criteria Met,
James  N. Wright  (Co-signer),Criteria Met,
Nicole  Y. Scott,Conditions Apply,2018-07-31 16:21:47
Nicole  Y. Scott,Frozen Credit File,
Betty  P. Wood,Criteria Met,
Rachel  W. Kelly,Criteria Met,
Jack  Q. Roberts,Conditions Apply,
Nathan  R. Lewis,Conditions Apply,
Elizabeth  A. Hernandez,Conditions Apply,
Nathan  R. Lewis,Conditions Apply,
Christopher  S. Moore,Criteria Met,
Jason  T. Nelson,Conditions Apply,
Deborah  U. Sanchez,Conditions Apply,
Joshua  V. Williams,Criteria Met,
Timothy  W. Kelly,Criteria Met,
Frank  Y. Scott,Criteria Met,
Steven  L. Taylor,Criteria Met,
Sandra  Q. Roberts,Criteria Met,
Gregory  A. Martinez,Conditions Apply,
Diane  T. Nelson,Criteria Met,
Elizabeth  S. Cook,Conditions Apply,2018-04-04 16:54:34
Benjamin  B. Morris,Conditions Apply,
Donald  C. Peterson,Conditions Apply,
Cynthia  D. Miller,Conditions Apply,
Shirley  R. Lewis,Criteria Met,
Richard  E. Ward  (Co-signer),Conditions Apply,
Michael  F. Harris,Conditions Apply,
Jessica  G. Morgan,Conditions Apply,
Ashley  B. Anderson,Criteria Met,
Amy  H. Mitchell,Criteria Met,
Heather  J. Ramos,Conditions Apply,
Margaret  K. Smith  (Co-signer),Conditions Apply,2018-03-09 11:02:52
Larry  L. Taylor,Conditions Apply,2018-03-09 10:57:05
Justin  M. Stewart  (Co-signer),Conditions Apply,2018-03-09 10:57:31
Brenda  N. Rogers,Conditions Apply,2018-03-09 10:56:11
Megan  P. Wilson,Conditions Apply,2018-03-09 10:56:37
Joyce  Q. Gomez,Criteria Met,
Joyce  Q. Gomez,Frozen Credit File,
Joan  R. Lopez,Conditions Apply,
Nicholas  S. Cook  (Co-signer),Criteria Met,
Laura  T. Gray,Conditions Apply,
Robert  U. Rodriguez  (Co-signer),Conditions Apply,
Christina  D. Evans,Conditions Apply,
Kathleen  V. Brooks,Conditions Apply,
Michelle  W. Young,Criteria Met,
Ryan  Y. Howard,Criteria Met,
Victoria  J. Hernandez,Conditions Apply,
Edward  A. Ortiz,Criteria Met,
John  B. Hall  (Co-signer),Criteria Met,
Dorothy  C. Cruz,Conditions Apply,
Raymond  C. Campbell,Criteria Met,
Helen  G. Brown,Conditions Apply,
Maria  A. Reed,Conditions Apply,
Anthony  D. Cooper,Criteria Met,
